timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
1/1/2020 0:56,Overcast,2020-01-01 05:56:00<br />,-15,,-,54,,1017.4,-7.2,,12:56 AM,16.1,SW,18.5,230,1/1/2020 0:56
1/1/2020 1:56,Overcast,2020-01-01 06:56:00<br />,-14.4,,-,55,,1017.2,-6.6,,1:56 AM,16.1,WSW,14.8,240,1/1/2020 1:56
1/1/2020 2:56,Overcast,2020-01-01 07:56:00<br />,-14.4,,-,55,,1016.9,-6.6,,2:56 AM,16.1,SW,14.8,220,1/1/2020 2:56
1/1/2020 3:56,Overcast,2020-01-01 08:56:00<br />,-14.4,,-,55,,1017.2,-6.6,,3:56 AM,16.1,SW,18.5,220,1/1/2020 3:56
1/1/2020 4:56,Overcast,2020-01-01 09:56:00<br />,-14.4,,-,55,,1017.2,-6.6,,4:56 AM,16.1,SSW,14.8,210,1/1/2020 4:56
1/1/2020 5:56,Overcast,2020-01-01 10:56:00<br />,-13.8,,-,57,,1017.4,-6.6,,5:56 AM,16.1,SW,16.7,230,1/1/2020 5:56
1/1/2020 6:19,Overcast,2020-01-01 11:19:00<br />,-14,,-,58,,1015.5,-7,,6:19 AM,16.1,SW,13,230,1/1/2020 6:19
1/1/2020 6:56,Overcast,2020-01-01 11:56:00<br />,-13.8,,-,55,,1017.1,-6.1,,6:56 AM,16.1,SW,16.7,220,1/1/2020 6:56
1/1/2020 7:56,Mostly Cloudy,2020-01-01 12:56:00<br />,-12.7,,-,60,,1017.1,-6.1,,7:56 AM,16.1,SW,14.8,230,1/1/2020 7:56
1/1/2020 8:56,Scattered Clouds,2020-01-01 13:56:00<br />,-12.7,,-,55,,1017,-5,,8:56 AM,16.1,SW,22.2,220,1/1/2020 8:56
1/1/2020 9:56,Partly Cloudy,2020-01-01 14:56:00<br />,-13.3,,-,53,,1016.5,-5,,9:56 AM,16.1,WSW,20.4,240,1/1/2020 9:56
1/1/2020 10:56,Clear,2020-01-01 15:56:00<br />,-13.3,,27.8,53,,1015.6,-5,,10:56 AM,16.1,SSW,16.7,210,1/1/2020 10:56
1/1/2020 11:56,Clear,2020-01-01 16:56:00<br />,-13.3,,-,45,,1014,-2.7,,11:56 AM,16.1,SSW,20.4,210,1/1/2020 11:56
