id,timestamp,Day,PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate(m3/s),ACH,CarbonEmissions(lb-co2/h)
0,10/1/2022 0:00,10/1/2022 0:00,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
1,10/1/2022 1:00,10/1/2022 1:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
2,10/1/2022 2:00,10/1/2022 2:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
3,10/1/2022 3:00,10/1/2022 3:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
4,10/1/2022 4:00,10/1/2022 4:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
5,10/1/2022 5:00,10/1/2022 5:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
6,10/1/2022 6:00,10/1/2022 6:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
7,10/1/2022 7:00,10/1/2022 7:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
8,10/1/2022 8:00,10/1/2022 8:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
9,10/1/2022 9:00,10/1/2022 9:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
10,10/1/2022 10:00,10/1/2022 10:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
11,10/1/2022 11:00,10/1/2022 11:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
12,10/1/2022 12:00,10/1/2022 12:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
13,10/1/2022 13:00,10/1/2022 13:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
14,10/1/2022 14:00,10/1/2022 14:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
15,10/1/2022 15:00,10/1/2022 15:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
16,10/1/2022 16:00,10/1/2022 16:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
17,10/1/2022 17:00,10/1/2022 17:00,3,0.011598685,300,1.159868548,80.4,0.310844771,0.17236,0.657305085,1.907923253
18,10/1/2022 18:00,10/1/2022 18:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
19,10/1/2022 19:00,10/1/2022 19:00,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
20,10/1/2022 20:00,10/1/2022 20:00,12,0.046394742,600,2.319737096,89.4,0.345640827,0.29944,1.141932203,2.070518918
21,10/1/2022 21:00,10/1/2022 21:00,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
22,10/1/2022 22:00,10/1/2022 22:00,9,0.034796056,300,1.159868548,86.4,0.334042142,0.25708,0.980389831,1.971002486
23,10/1/2022 23:00,10/1/2022 23:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
24,10/2/2022 0:00,10/2/2022 0:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
25,10/2/2022 1:00,10/2/2022 1:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
26,10/2/2022 2:00,10/2/2022 2:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
27,10/2/2022 3:00,10/2/2022 3:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
28,10/2/2022 4:00,10/2/2022 4:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
29,10/2/2022 5:00,10/2/2022 5:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
30,10/2/2022 6:00,10/2/2022 6:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
31,10/2/2022 7:00,10/2/2022 7:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
32,10/2/2022 8:00,10/2/2022 8:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
33,10/2/2022 9:00,10/2/2022 9:00,2,0.007732457,300,1.159868548,79.4,0.306978542,0.15824,0.603457627,1.888942582
34,10/2/2022 10:00,10/2/2022 10:00,3,0.011598685,300,1.159868548,80.4,0.310844771,0.17236,0.657305085,1.907923253
35,10/2/2022 11:00,10/2/2022 11:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
36,10/2/2022 12:00,10/2/2022 12:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
37,10/2/2022 13:00,10/2/2022 13:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
38,10/2/2022 14:00,10/2/2022 14:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
39,10/2/2022 15:00,10/2/2022 15:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
40,10/2/2022 16:00,10/2/2022 16:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
41,10/2/2022 17:00,10/2/2022 17:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
42,10/2/2022 18:00,10/2/2022 18:00,6,0.023197371,300,1.159868548,83.4,0.322443456,0.21472,0.818847458,1.945234295
43,10/2/2022 19:00,10/2/2022 19:00,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
44,10/2/2022 20:00,10/2/2022 20:00,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
45,10/2/2022 21:00,10/2/2022 21:00,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
46,10/2/2022 22:00,10/2/2022 22:00,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
47,10/2/2022 23:00,10/2/2022 23:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
48,10/3/2022 0:00,10/3/2022 0:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
49,10/3/2022 1:00,10/3/2022 1:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
50,10/3/2022 2:00,10/3/2022 2:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
51,10/3/2022 3:00,10/3/2022 3:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
52,10/3/2022 4:00,10/3/2022 4:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
53,10/3/2022 5:00,10/3/2022 5:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
54,10/3/2022 6:00,10/3/2022 6:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
55,10/3/2022 7:00,10/3/2022 7:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
56,10/3/2022 8:00,10/3/2022 8:00,22,0.085057027,600,2.319737096,99.4,0.384303112,0.44064,1.68040678,2.127704795
57,10/3/2022 9:00,10/3/2022 9:00,62,0.239706167,900,3.479605645,139.4,0.538952252,1.00544,3.834305085,2.73356213
58,10/3/2022 10:00,10/3/2022 10:00,62,0.239706167,900,3.479605645,139.4,0.538952252,1.00544,3.834305085,2.73356213
59,10/3/2022 11:00,10/3/2022 11:00,60,0.23197371,900,3.479605645,137.4,0.531219795,0.9772,3.726610169,2.679871623
60,10/3/2022 12:00,10/3/2022 12:00,59,0.228107481,900,3.479605645,136.4,0.527353567,0.96308,3.672762712,2.653229589
61,10/3/2022 13:00,10/3/2022 13:00,32,0.123719312,600,2.319737096,109.4,0.422965397,0.58184,2.218881356,2.18466713
62,10/3/2022 14:00,10/3/2022 14:00,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
63,10/3/2022 15:00,10/3/2022 15:00,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
64,10/3/2022 16:00,10/3/2022 16:00,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
65,10/3/2022 17:00,10/3/2022 17:00,12,0.046394742,600,2.319737096,89.4,0.345640827,0.29944,1.141932203,2.070518918
66,10/3/2022 18:00,10/3/2022 18:00,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
67,10/3/2022 19:00,10/3/2022 19:00,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
68,10/3/2022 20:00,10/3/2022 20:00,2,0.007732457,300,1.159868548,79.4,0.306978542,0.15824,0.603457627,1.888942582
69,10/3/2022 21:00,10/3/2022 21:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
70,10/3/2022 22:00,10/3/2022 22:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
71,10/3/2022 23:00,10/3/2022 23:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
72,10/4/2022 0:00,10/4/2022 0:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
73,10/4/2022 1:00,10/4/2022 1:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
74,10/4/2022 2:00,10/4/2022 2:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
75,10/4/2022 3:00,10/4/2022 3:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
76,10/4/2022 4:00,10/4/2022 4:00,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
