,id,timestamp,Day,PeopleCount,PeoplePerArea(p/m2),LightingPower,LightingPowerIntensity(W/m2),EquipmentLoad,EquipmentPowerIntensity(W/m2),Carbon Emissions
0,0,10/1/2022 0:00,Saturday,10,0.0387,300,1.1599,87.4,0.3379,1.196819
1,1,10/1/2022 1:00,Saturday,4,0.0155,300,1.1599,81.4,0.3147,1.195943
2,2,10/1/2022 2:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
3,3,10/1/2022 3:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
4,4,10/1/2022 4:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
5,5,10/1/2022 5:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
6,6,10/1/2022 6:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
7,7,10/1/2022 7:00,Saturday,5,0.0193,300,1.1599,82.4,0.3186,1.195943
8,8,10/1/2022 8:00,Saturday,4,0.0155,300,1.1599,81.4,0.3147,1.195943
9,9,10/1/2022 9:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
10,10,10/1/2022 10:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
11,11,10/1/2022 11:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
12,12,10/1/2022 12:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
13,13,10/1/2022 13:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
14,14,10/1/2022 14:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
15,15,10/1/2022 15:00,Saturday,0,0.0,0,0.0,77.4,0.2992,1.139061
16,16,10/1/2022 16:00,Saturday,4,0.0155,300,1.1599,81.4,0.3147,1.195943
17,17,10/1/2022 17:00,Saturday,3,0.0116,300,1.1599,80.4,0.3108,1.195291
18,18,10/1/2022 18:00,Saturday,5,0.0193,300,1.1599,82.4,0.3186,1.195943
19,19,10/1/2022 19:00,Saturday,10,0.0387,300,1.1599,87.4,0.3379,1.196819
20,20,10/1/2022 20:00,Saturday,12,0.0464,600,2.3197,89.4,0.3456,1.257653
