,id,timestamp,Day,Temperature (degC),Humidity (%),Wind Speed (m/s),Wind Direction (deg),Pressure (hPa),PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h)
0,0,10/1/2022 0:00,10/1/2022 0:00,11.06,71,1,96,1020,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
1,1,10/1/2022 1:00,10/1/2022 1:00,9.83,77,1,90,1020,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
2,2,10/1/2022 2:00,10/1/2022 2:00,8.5,82,1,92,1020,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
3,3,10/1/2022 3:00,10/1/2022 3:00,8.67,80,1,78,1021,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
4,4,10/1/2022 4:00,10/1/2022 4:00,8.56,80,1,83,1021,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
5,5,10/1/2022 5:00,10/1/2022 5:00,8.39,80,1,77,1022,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
6,6,10/1/2022 6:00,10/1/2022 6:00,9.06,76,1,75,1022,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
7,7,10/1/2022 7:00,10/1/2022 7:00,11.67,67,1,75,1023,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
8,8,10/1/2022 8:00,10/1/2022 8:00,15.22,56,3,87,1023,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
9,9,10/1/2022 9:00,10/1/2022 9:00,18.22,45,3,69,1023,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
10,10,10/1/2022 10:00,10/1/2022 10:00,20,40,4,62,1023,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
11,11,10/1/2022 11:00,10/1/2022 11:00,21.17,36,5,79,1023,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
12,12,10/1/2022 12:00,10/1/2022 12:00,22.28,33,4,65,1022,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
13,13,10/1/2022 13:00,10/1/2022 13:00,22.95,32,4,61,1022,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
14,14,10/1/2022 14:00,10/1/2022 14:00,23.39,31,5,79,1021,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
15,15,10/1/2022 15:00,10/1/2022 15:00,23.67,29,4,71,1021,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
16,16,10/1/2022 16:00,10/1/2022 16:00,23.17,29,1,67,1021,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
17,17,10/1/2022 17:00,10/1/2022 17:00,21.67,32,1,60,1021,3,0.011598685,300,1.159868548,80.4,0.310844771,0.17236,0.657305085,1.907923253
18,18,10/1/2022 18:00,10/1/2022 18:00,19.39,40,1,66,1022,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
19,19,10/1/2022 19:00,10/1/2022 19:00,17.45,48,1,70,1022,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
20,20,10/1/2022 20:00,10/1/2022 20:00,16.06,55,1,65,1023,12,0.046394742,600,2.319737096,89.4,0.345640827,0.29944,1.141932203,2.070518918
21,21,10/1/2022 21:00,10/1/2022 21:00,14.72,60,1,64,1023,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
22,22,10/1/2022 22:00,10/1/2022 22:00,13.78,63,1,74,1023,9,0.034796056,300,1.159868548,86.4,0.334042142,0.25708,0.980389831,1.971002486
23,23,10/1/2022 23:00,10/1/2022 23:00,12.95,67,1,78,1023,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
24,24,10/2/2022 0:00,10/2/2022 0:00,11.83,72,1,84,1024,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
25,25,10/2/2022 1:00,10/2/2022 1:00,11.17,75,1,84,1024,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
26,26,10/2/2022 2:00,10/2/2022 2:00,11.67,73,1,63,1024,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
27,27,10/2/2022 3:00,10/2/2022 3:00,11.56,72,1,58,1024,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
28,28,10/2/2022 4:00,10/2/2022 4:00,10.33,78,1,46,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
29,29,10/2/2022 5:00,10/2/2022 5:00,9.45,82,1,52,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
30,30,10/2/2022 6:00,10/2/2022 6:00,9.39,83,1,62,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
31,31,10/2/2022 7:00,10/2/2022 7:00,12.06,72,1,61,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
32,32,10/2/2022 8:00,10/2/2022 8:00,14.89,60,1,82,1027,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
33,33,10/2/2022 9:00,10/2/2022 9:00,17.83,50,1,80,1027,2,0.007732457,300,1.159868548,79.4,0.306978542,0.15824,0.603457627,1.888942582
34,34,10/2/2022 10:00,10/2/2022 10:00,20.22,39,2,65,1027,3,0.011598685,300,1.159868548,80.4,0.310844771,0.17236,0.657305085,1.907923253
35,35,10/2/2022 11:00,10/2/2022 11:00,22,33,2,43,1027,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
36,36,10/2/2022 12:00,10/2/2022 12:00,23.72,29,2,37,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
37,37,10/2/2022 13:00,10/2/2022 13:00,24.72,29,3,51,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
38,38,10/2/2022 14:00,10/2/2022 14:00,25,28,2,56,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
39,39,10/2/2022 15:00,10/2/2022 15:00,24.72,30,4,63,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
40,40,10/2/2022 16:00,10/2/2022 16:00,24.06,31,2,65,1025,4,0.015464914,300,1.159868548,81.4,0.314710999,0.18648,0.711152542,1.923205336
41,41,10/2/2022 17:00,10/2/2022 17:00,22.56,34,1,64,1025,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
42,42,10/2/2022 18:00,10/2/2022 18:00,20.17,41,1,73,1025,6,0.023197371,300,1.159868548,83.4,0.322443456,0.21472,0.818847458,1.945234295
43,43,10/2/2022 19:00,10/2/2022 19:00,18.11,50,1,76,1025,10,0.038662285,300,1.159868548,87.4,0.33790837,0.2712,1.034237288,1.977769685
44,44,10/2/2022 20:00,10/2/2022 20:00,16.45,55,1,76,1025,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
45,45,10/2/2022 21:00,10/2/2022 21:00,15.89,53,1,71,1025,11,0.042528513,600,2.319737096,88.4,0.341774599,0.28532,1.088084746,2.063101418
46,46,10/2/2022 22:00,10/2/2022 22:00,15.39,54,1,74,1026,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
47,47,10/2/2022 23:00,10/2/2022 23:00,14.56,58,1,80,1026,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
48,48,10/3/2022 0:00,10/3/2022 0:00,14.22,61,1,73,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
49,49,10/3/2022 1:00,10/3/2022 1:00,13.78,65,1,74,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
50,50,10/3/2022 2:00,10/3/2022 2:00,13.28,69,1,72,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
51,51,10/3/2022 3:00,10/3/2022 3:00,12.67,72,3,72,1025,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
52,52,10/3/2022 4:00,10/3/2022 4:00,12.33,75,4,74,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
53,53,10/3/2022 5:00,10/3/2022 5:00,11.95,77,4,75,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
54,54,10/3/2022 6:00,10/3/2022 6:00,11.67,79,3,75,1026,0,0,0,0,77.4,0.299246085,0.13,0.495762712,1.761686733
55,55,10/3/2022 7:00,10/3/2022 7:00,13.5,72,5,84,1027,5,0.019331142,300,1.159868548,82.4,0.318577228,0.2006,0.765,1.935195267
56,56,10/3/2022 8:00,10/3/2022 8:00,16.33,60,4,98,1027,22,0.085057027,600,2.319737096,99.4,0.384303112,0.44064,1.68040678,2.127704795
57,57,10/3/2022 9:00,10/3/2022 9:00,19,53,1,104,1027,62,0.239706167,900,3.479605645,139.4,0.538952252,1.00544,3.834305085,2.73356213
58,58,10/3/2022 10:00,10/3/2022 10:00,21.06,47,1,219,1027,62,0.239706167,900,3.479605645,139.4,0.538952252,1.00544,3.834305085,2.73356213
59,59,10/3/2022 11:00,10/3/2022 11:00,22.61,43,3,91,1026,60,0.23197371,900,3.479605645,137.4,0.531219795,0.9772,3.726610169,2.679871623
60,60,10/3/2022 12:00,10/3/2022 12:00,23.78,39,4,84,1026,59,0.228107481,900,3.479605645,136.4,0.527353567,0.96308,3.672762712,2.653229589
61,61,10/3/2022 13:00,10/3/2022 13:00,24.67,35,4,79,1024,32,0.123719312,600,2.319737096,109.4,0.422965397,0.58184,2.218881356,2.18466713
62,62,10/3/2022 14:00,10/3/2022 14:00,25,32,4,93,1024,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
63,63,10/3/2022 15:00,10/3/2022 15:00,24.84,31,5,84,1023,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
64,64,10/3/2022 16:00,10/3/2022 16:00,24.17,31,5,80,1023,15,0.057993427,600,2.319737096,92.4,0.357239513,0.3418,1.303474576,2.095392945
