T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,70,50,12,48,12,5,10,5,9,9,12,865.380425
70,60,50,12,36,24,10,10,10,9,12,9,627.193503
60,60,50,36,12,36,10,5,5,12,12,9,672.017266
70,60,60,36,24,12,10,10,10,9,9,9,644.130671
60,60,50,24,12,12,10,10,5,12,9,12,674.573768
70,60,60,24,24,24,10,5,5,9,12,9,646.444859
60,60,60,24,48,36,10,5,5,9,9,9,680.073023
70,70,50,48,36,12,10,5,10,12,12,12,642.676364
60,70,60,24,12,12,10,10,10,9,9,12,683.823559
70,60,50,36,48,24,10,10,10,9,9,9,642.285406
60,70,60,12,36,36,5,10,5,9,9,9,866.72815
70,60,50,12,48,12,5,10,5,9,12,9,828.608186
60,70,50,12,24,12,10,5,5,12,9,9,654.425987
70,70,50,36,48,24,10,5,10,12,12,9,635.991853
60,70,60,36,48,36,10,5,10,12,9,9,669.680965
70,60,60,24,48,12,5,10,10,9,12,9,950.765774
60,70,50,48,48,12,5,5,10,9,12,12,1049.20291
70,70,50,12,48,24,5,10,5,12,12,9,822.273898
60,60,50,12,12,36,10,5,10,9,9,12,664.71144
70,60,60,36,24,12,10,10,10,12,12,9,637.924334
60,70,60,48,24,12,5,10,10,9,9,12,1052.093728
70,60,60,48,24,24,10,5,10,12,12,9,643.42071
60,60,60,24,12,36,5,5,5,9,9,9,992.435237
70,70,60,48,12,12,10,10,5,9,12,12,650.165531
60,60,60,24,24,12,10,5,10,9,9,12,682.957995
70,60,60,12,12,24,10,5,10,12,12,9,622.805956
60,60,50,12,48,36,5,5,10,9,12,9,864.384309
70,60,60,36,12,12,5,5,10,9,12,9,989.20842
60,70,50,36,24,12,5,5,10,12,12,9,1017.700501
70,60,60,48,24,24,5,10,10,12,9,9,1003.667834
60,70,60,48,48,36,5,5,10,12,9,12,1040.888022
70,70,60,48,12,12,5,10,5,12,12,9,1004.618617
60,60,50,48,24,12,5,10,5,12,9,9,1044.134206
70,60,60,36,48,24,10,10,10,12,9,12,636.180288
60,60,60,36,36,36,5,10,10,12,9,9,1016.487445
70,70,60,12,24,12,5,5,5,12,9,9,825.977918
60,60,50,48,36,12,5,10,5,9,12,12,1050.700524
70,70,50,24,12,24,10,5,5,9,12,9,647.218629
60,70,60,24,12,36,10,10,10,9,9,9,683.589283
70,60,50,48,36,12,10,10,5,9,9,12,648.876149
60,60,50,36,36,12,5,5,5,12,12,12,1016.30581
70,60,50,48,12,24,10,10,10,9,9,12,650.363191
60,70,50,36,48,36,5,5,10,12,12,9,1014.620542
70,60,60,12,24,12,10,10,5,12,9,9,622.076572
60,60,50,24,24,12,5,10,5,9,9,12,991.619267
70,60,50,24,24,24,5,10,5,9,12,9,953.93808
60,70,60,24,36,36,10,10,10,12,12,9,672.112232
70,60,50,12,48,12,10,10,5,9,9,12,626.246572
60,60,60,12,12,12,5,5,5,9,9,12,870.223177
70,60,60,36,48,24,10,5,10,12,9,12,636.064404
60,60,50,24,48,36,5,10,5,12,9,12,979.560458
70,70,50,24,24,12,5,5,10,12,9,12,948.50114
60,70,60,24,12,12,5,10,10,12,9,12,984.633023
70,60,60,48,24,24,5,10,5,12,9,9,1003.667834
60,70,60,48,36,36,10,10,10,9,9,12,690.291952
70,60,50,48,12,12,10,5,5,9,12,9,650.13023
60,60,50,36,48,12,5,5,10,9,12,12,1022.71211
70,60,50,36,24,24,5,5,5,12,12,9,982.46216
60,60,50,12,24,36,10,5,5,12,12,9,653.669449
70,60,50,24,24,12,10,5,5,9,9,12,646.582132
60,70,60,48,24,12,5,5,10,9,9,9,1051.948833
70,60,50,48,24,24,10,10,10,9,9,9,649.569783
60,70,60,24,36,36,10,5,10,12,12,9,671.997681
70,70,60,36,36,12,5,5,5,9,12,9,986.673374
60,70,50,12,36,12,5,10,10,12,9,9,858.213995
70,70,60,48,48,24,10,5,5,12,12,12,641.74575
60,70,60,12,12,36,5,10,10,12,12,12,860.596733
70,60,60,12,36,12,10,5,10,9,12,9,627.026173
60,70,60,24,48,12,5,5,5,9,12,9,988.010441
70,60,60,12,48,24,10,10,5,9,12,9,625.977435
60,70,50,24,12,36,10,5,10,9,9,12,683.20244
70,60,60,36,36,12,10,5,10,9,12,12,642.985564
60,70,60,12,24,12,10,5,10,9,9,9,664.383637
70,60,60,12,48,24,10,10,10,9,12,9,625.977435
60,70,50,12,36,36,10,5,5,9,9,12,662.214908
70,70,60,24,24,12,10,10,10,9,12,12,646.524962
60,70,60,12,24,12,10,5,5,9,9,12,664.383637
70,60,50,36,36,24,10,10,5,9,12,12,643.027836
60,70,60,24,48,36,10,5,10,9,12,9,680.104433
70,70,50,48,36,12,5,5,10,12,12,9,1002.298292
60,60,50,36,36,12,10,5,10,12,12,9,670.685945
70,60,60,48,36,24,10,10,10,12,9,12,642.87613
60,70,50,36,48,36,10,5,10,12,9,9,669.569631
70,70,50,48,48,12,10,10,5,12,12,12,641.832544
60,70,50,48,12,12,5,5,5,9,12,12,1052.9609
70,60,50,48,48,24,5,10,5,9,12,12,1006.439614
60,60,50,48,12,36,5,5,5,12,12,9,1044.681162
70,60,60,24,48,12,10,10,5,12,9,12,637.856275
60,70,60,36,36,12,5,5,5,9,9,9,1024.533872
70,70,50,48,12,24,5,10,10,9,9,12,1010.319824
60,70,60,48,12,36,10,10,10,9,12,12,691.57396
70,70,50,24,24,12,10,5,5,9,12,9,646.484423
60,60,50,24,24,12,10,5,10,9,12,12,682.820722
70,70,60,12,36,24,5,5,5,9,12,9,830.159357
60,70,50,24,48,36,10,5,5,9,12,12,679.717491
70,60,60,12,12,12,10,10,10,9,9,9,629.933976
60,60,60,24,12,12,10,5,5,12,12,9,674.340805
70,70,50,48,24,24,5,5,10,12,12,12,1003.416589
60,70,60,36,48,36,10,5,10,9,9,9,678.599313
70,60,60,24,24,12,5,5,10,9,9,9,954.134217
60,70,50,48,24,12,5,10,5,9,9,9,1052.093728
70,60,60,24,24,24,5,10,5,9,12,12,953.93808
60,60,60,36,12,36,10,10,5,12,9,9,672.306501
70,60,60,24,48,12,5,5,10,9,9,9,950.722572
60,60,60,36,24,12,10,10,10,9,12,12,680.648182
