Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
12:54 AM,3,1,89,20,0,974.83,0,N,Cloudy,1/1/2022
1:45 AM,2,0,86,28,0,974.5,0,NE,Cloudy,1/1/2022
1:54 AM,2,0,86,20,0,975.15,0,NNE,Cloudy,1/1/2022
2:54 AM,2,0,89,26,0,975.48,0,N,Cloudy,1/1/2022
3:54 AM,1,0,92,19,0,975.15,0.3,NNE,Cloudy,1/1/2022
4:54 AM,1,0,92,20,0,975.15,1.8,NNE,Rain,1/1/2022
5:34 AM,1,-1,92,19,31,975.15,2.5,NE,Wintry Mix,1/1/2022
5:54 AM,1,-1,92,20,0,974.17,3,ENE,Rain,1/1/2022
6:15 AM,1,-1,92,17,0,975.48,1.3,N,Wintry Mix,1/1/2022
6:30 AM,1,-1,92,20,0,975.15,1.8,NNE,Wintry Mix,1/1/2022
6:45 AM,1,-1,92,19,0,974.5,2.8,NE,Wintry Mix,1/1/2022
6:54 AM,1,-1,92,19,0,975.48,3,N,Light Freezing Rain,1/1/2022
7:00 AM,1,-1,92,28,37,974.83,0.3,NNE,Wintry Mix,1/1/2022
7:09 AM,1,-1,92,17,0,975.15,0.5,N,Light Freezing Rain,1/1/2022
7:51 AM,1,-1,87,24,0,974.5,1,NE,Light Freezing Rain,1/1/2022
7:54 AM,1,-1,89,20,0,974.5,1,NE,Wintry Mix,1/1/2022
8:02 AM,1,-1,89,17,0,974.5,0.5,NE,Wintry Mix,1/1/2022
8:43 AM,1,-1,89,13,0,975.81,1,NE,Wintry Mix,1/1/2022
8:54 AM,1,-1,89,20,0,975.48,1,NE,Cloudy,1/1/2022
9:54 AM,1,-2,85,15,31,975.81,0.3,NE,Cloudy,1/1/2022
10:06 AM,1,-2,85,17,37,975.81,0,NE,Cloudy,1/1/2022
10:10 AM,1,-1,89,19,0,975.48,0,NE,Cloudy,1/1/2022
10:28 AM,0,-1,92,17,0,976.47,0,N,Cloudy,1/1/2022
10:42 AM,0,-2,88,24,0,975.48,0,NNE,Wintry Mix,1/1/2022
10:51 AM,0,-1,93,20,0,975.48,0,NNE,Wintry Mix,1/1/2022
10:54 AM,0,-1,92,20,0,975.48,0,NNE,Wintry Mix,1/1/2022
11:00 AM,0,-1,92,17,0,975.81,0,NNE,Fog,1/1/2022
11:12 AM,-1,-2,92,24,0,975.15,0,NNE,Wintry Mix,1/1/2022
11:54 AM,-1,-2,92,19,0,974.83,0.3,N,Cloudy,1/1/2022
12:24 PM,-1,-2,92,17,0,975.15,0,N,Wintry Mix,1/1/2022
12:54 PM,-3,-4,92,24,0,974.83,0.3,N,Fog,1/1/2022
1:05 PM,-3,-4,92,26,0,974.5,0,N,Fog,1/1/2022
1:54 PM,-3,-5,88,26,0,975.81,0,N,Cloudy,1/1/2022
2:41 PM,-4,-6,88,30,0,976.47,0,N,Fog,1/1/2022
2:54 PM,-4,-6,88,33,44,976.47,0,N,Wintry Mix / Windy,1/1/2022
3:54 PM,-5,-7,88,26,41,977.45,0,N,Fog,1/1/2022
4:54 PM,-6,-8,85,31,43,978.11,0,N,Cloudy,1/1/2022
5:54 PM,-7,-9,85,24,0,979.42,0,NNW,Cloudy,1/1/2022
6:54 PM,-7,-9,85,22,0,980.4,0,NNW,Cloudy,1/1/2022
7:54 PM,-7,-9,85,28,0,981.38,0,NNW,Cloudy,1/1/2022
8:54 PM,-8,-11,81,20,0,982.04,0,NNW,Cloudy,1/1/2022
9:09 PM,-8,-10,84,22,0,982.37,0,NW,Cloudy,1/1/2022
9:54 PM,-8,-11,84,24,37,982.7,0,NNW,Cloudy,1/1/2022
10:32 PM,-8,-11,84,28,0,983.35,0,NNW,Cloudy,1/1/2022
10:54 PM,-8,-11,84,28,0,983.68,0,NNW,Light Snow,1/1/2022
11:38 PM,-8,-11,84,26,0,984.34,0,NNW,Light Snow,1/1/2022
11:54 PM,-8,-11,81,24,0,984.66,0,NW,Light Snow,1/1/2022
12:37 AM,-9,-11,84,22,0,985.32,0,NW,Light Snow,1/2/2022
12:54 AM,-9,-11,84,22,0,985.32,0,NNW,Light Snow,1/2/2022
1:54 AM,-9,-12,81,20,0,985.97,0,NNW,Light Snow,1/2/2022
2:54 AM,-10,-12,84,28,44,985.97,0,NNW,Light Snow,1/2/2022
3:14 AM,-10,-12,84,20,0,985.97,0,NNW,Light Snow,1/2/2022
3:26 AM,-10,-12,84,26,0,986.3,0,NNW,Light Snow,1/2/2022
3:54 AM,-10,-12,84,24,0,986.63,0,NNW,Light Snow,1/2/2022
4:41 AM,-11,-13,84,20,0,988.93,0,WNW,Light Snow,1/2/2022
4:51 AM,-11,-13,85,22,0,988.93,0,NW,Light Snow,1/2/2022
4:54 AM,-11,-13,84,22,0,988.93,0,WNW,Light Snow,1/2/2022
5:54 AM,-11,-14,80,28,0,988.93,0,NNW,Light Snow,1/2/2022
6:49 AM,-11,-14,79,26,0,989.25,0.3,NW,Cloudy,1/2/2022
6:54 AM,-11,-14,80,22,0,989.58,0.3,NW,Cloudy,1/2/2022
7:54 AM,-12,-14,81,26,0,990.57,0,NW,Cloudy,1/2/2022
8:54 AM,-12,-15,80,22,0,992.2,0,NW,Cloudy,1/2/2022
9:54 AM,-12,-14,81,15,0,992.53,0,NW,Cloudy,1/2/2022
10:54 AM,-12,-14,81,19,0,992.86,0,WNW,Fair,1/2/2022
11:54 AM,-9,-13,77,15,0,993.19,0,NW,Mostly Cloudy,1/2/2022
12:54 PM,-8,-12,74,13,0,993.19,0,NW,Mostly Cloudy,1/2/2022
1:54 PM,-8,-12,74,13,0,993.19,0,NW,Mostly Cloudy,1/2/2022
2:54 PM,-8,-12,74,13,0,993.52,0,WNW,Mostly Cloudy,1/2/2022
3:54 PM,-8,-12,74,11,0,994.17,0,NW,Mostly Cloudy,1/2/2022
4:54 PM,-9,-13,77,17,0,994.83,0,NW,Fair,1/2/2022
5:54 PM,-10,-13,80,13,0,995.48,0,NW,Mostly Cloudy,1/2/2022
6:39 PM,-11,-14,77,11,0,995.81,0,NW,Fair,1/2/2022
6:54 PM,-11,-14,77,13,0,995.81,0,NW,Fair,1/2/2022
