timestamp,id,Temperature (degC),Humidity (%),Wind Speed (m/s),Wind Direction (deg),Pressure (hPa),PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h),CarbonEmissions(kg-co2/h)
2022-10-01 00:00:00,1,11.06,71.0,1.0,96.0,1020.0,10.0,0.039,300.0,1.16,87.4,0.338,0.271,1.034,1.978,0.8972049759999999
2022-10-01 00:05:00,2,11.509,92.436,1.005,110.297,939.143,9.742,0.036,329.709,1.227,70.153,0.367,0.278,0.982,1.656,0.751148352
2022-10-01 00:10:00,3,12.177,63.407,1.209,99.152,932.341,10.031,0.043,271.14,1.223,94.016,0.353,0.318,1.172,1.987,0.901287304
2022-10-01 00:15:00,4,9.615,74.245,1.008,90.538,919.496,9.729,0.035,292.266,1.141,84.272,0.388,0.259,0.917,1.653,0.749787576
2022-10-01 00:20:00,5,12.157,64.388,0.995,98.954,1040.667,9.631,0.039,294.709,1.112,80.548,0.317,0.237,1.133,2.077,0.9421105839999999
2022-10-01 00:25:00,6,12.321,70.06,1.09,97.97,1060.944,10.792,0.04,299.854,1.162,94.226,0.315,0.281,1.056,2.216,1.0051598720000001
2022-10-01 00:30:00,7,11.754,82.635,1.036,88.582,880.389,10.814,0.039,291.298,0.973,88.792,0.387,0.31,1.108,1.813,0.822362296
2022-10-01 00:35:00,8,11.666,79.466,1.118,106.681,763.108,9.778,0.04,367.657,1.144,109.898,0.357,0.294,0.958,1.912,0.867267904
2022-10-01 00:40:00,9,12.463,65.442,1.108,105.24,1002.111,10.587,0.035,287.255,1.271,82.774,0.294,0.341,1.017,1.757,0.796961144
2022-10-01 00:45:00,10,8.773,88.309,0.941,102.132,1112.344,10.312,0.034,297.135,1.139,92.663,0.319,0.238,1.031,2.064,0.936213888
2022-10-01 00:50:00,11,11.326,69.795,1.105,96.309,995.527,10.992,0.034,367.226,0.907,78.63,0.336,0.253,1.286,2.075,0.9412034
2022-10-01 00:55:00,12,11.397,77.93,0.885,101.632,1056.456,8.929,0.034,285.3,1.061,79.891,0.293,0.276,1.097,1.837,0.833248504
2022-10-01 01:00:00,13,9.83,77.0,1.0,90.0,1020.0,4.0,0.015,300.0,1.16,81.4,0.315,0.186,0.711,1.923,0.8722574160000001
2022-10-01 01:05:00,14,9.292,78.009,1.071,95.945,903.589,3.471,0.016,337.696,1.059,86.618,0.322,0.186,0.753,1.686,0.7647561119999999
2022-10-01 01:10:00,15,8.679,80.402,0.923,85.087,1060.746,3.984,0.014,353.632,1.085,81.945,0.332,0.163,0.752,2.007,0.9103591440000001
2022-10-01 01:15:00,16,12.024,71.448,0.985,70.598,1030.551,3.364,0.015,283.937,1.198,84.109,0.306,0.166,0.767,2.103,0.9539039760000001
2022-10-01 01:20:00,17,9.496,77.824,1.046,93.747,938.969,4.343,0.017,303.546,1.037,89.302,0.296,0.209,0.698,2.16,0.9797587200000001
2022-10-01 01:25:00,18,9.233,70.906,0.865,86.385,1030.622,4.017,0.015,342.364,1.149,86.14,0.277,0.169,0.637,2.062,0.9353067039999999
2022-10-01 01:30:00,19,7.653,86.877,1.09,89.777,909.012,3.361,0.017,302.576,1.199,84.066,0.332,0.193,0.85,1.977,0.896751384
2022-10-01 01:35:00,20,8.964,75.252,0.887,88.287,1155.571,3.833,0.014,247.78,1.032,75.331,0.259,0.21,0.708,1.779,0.8069401679999999
