timestamp,id,Temperature (degC),Humidity (%),Wind Speed (m/s),Wind Direction (deg),Pressure (hPa),PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h),CarbonEmissions(kg-co2/h)
2022-10-01 00:00:00,1,11.06,71.0,1.0,96.0,1020.0,10.0,0.039,300.0,1.16,87.4,0.338,0.271,1.034,1.978,0.8972049759999999
2022-10-01 00:05:00,2,12.525,69.701,0.985,91.768,868.301,9.233,0.04,303.709,1.373,90.663,0.367,0.25,1.124,1.875,0.8504849999999999
2022-10-01 00:10:00,3,12.13,84.356,1.102,105.918,1141.134,10.642,0.04,270.243,1.364,90.173,0.399,0.274,0.965,1.782,0.808300944
2022-10-01 00:15:00,4,11.424,65.484,0.993,100.811,1195.612,9.776,0.041,357.772,1.078,92.11,0.368,0.27,1.031,2.092,0.948914464
2022-10-01 00:20:00,5,11.197,74.385,1.121,82.073,1166.56,9.762,0.037,308.327,1.013,89.539,0.387,0.277,1.181,1.974,0.895390608
2022-10-01 00:25:00,6,10.009,66.278,1.001,86.162,868.032,10.206,0.041,293.629,1.205,84.593,0.346,0.242,0.963,1.685,0.76430252
2022-10-01 00:30:00,7,10.48,62.515,1.003,96.722,1026.963,11.265,0.043,282.39,1.17,87.027,0.378,0.266,0.826,1.895,0.85955684
2022-10-01 00:35:00,8,11.727,74.525,0.862,98.841,1006.266,11.279,0.036,312.457,0.961,93.457,0.354,0.234,1.156,2.02,0.91625584
2022-10-01 00:40:00,9,9.652,73.321,1.069,99.281,1165.116,10.274,0.039,345.417,1.281,98.462,0.39,0.308,1.126,2.068,0.9380282560000001
2022-10-01 00:45:00,10,11.71,59.239,1.193,94.862,1000.14,11.007,0.044,280.046,1.207,87.332,0.318,0.256,1.081,2.183,0.9901913359999999
2022-10-01 00:50:00,11,12.745,66.909,1.163,98.018,1150.069,9.809,0.038,322.792,1.403,81.689,0.29,0.301,0.983,1.812,0.821908704
2022-10-01 00:55:00,12,11.522,73.535,0.812,110.042,826.208,10.207,0.04,337.434,1.022,89.355,0.394,0.229,1.036,2.191,0.9938200719999999
2022-10-01 01:00:00,13,9.83,77.0,1.0,90.0,1020.0,4.0,0.015,300.0,1.16,81.4,0.315,0.186,0.711,1.923,0.8722574160000001
2022-10-01 01:05:00,14,9.193,69.325,1.044,76.872,1086.738,4.095,0.014,301.916,1.184,78.745,0.245,0.22,0.749,2.017,0.914895064
2022-10-01 01:10:00,15,8.782,87.567,0.849,89.536,1022.984,3.22,0.016,286.452,1.203,86.265,0.299,0.185,0.589,1.754,0.795600368
2022-10-01 01:15:00,16,9.49,91.539,0.995,70.11,1072.544,3.704,0.014,239.522,1.286,75.338,0.258,0.19,0.826,2.044,0.927142048
2022-10-01 01:20:00,17,9.603,89.292,0.92,99.528,1109.321,4.234,0.017,306.851,1.213,71.494,0.346,0.186,0.608,1.959,0.888586728
2022-10-01 01:25:00,18,10.556,83.312,1.033,89.706,949.751,3.614,0.015,226.103,1.249,79.627,0.323,0.168,0.704,2.22,1.0069742400000001
2022-10-01 01:30:00,19,9.97,80.551,0.987,80.773,917.013,3.497,0.016,255.601,1.253,73.577,0.317,0.159,0.89,1.678,0.7611273759999999
2022-10-01 01:35:00,20,10.912,65.48,1.038,99.891,1083.202,3.888,0.016,281.12,1.191,68.011,0.353,0.202,0.656,1.928,0.8745253759999999
2022-10-01 01:40:00,21,10.484,62.262,0.887,94.445,1102.403,4.683,0.016,230.957,1.348,93.313,0.387,0.198,0.699,2.221,1.007427832
2022-10-01 01:45:00,22,10.351,80.053,1.0,86.8,1023.443,3.701,0.014,283.263,1.215,75.829,0.289,0.159,0.639,1.751,0.7942395919999999
2022-10-01 01:50:00,23,10.384,76.015,1.125,83.299,1189.345,3.619,0.014,295.723,0.978,83.885,0.291,0.192,0.776,2.002,0.9080911839999999
