,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,1.7517816472565786,0.022784899712354072,76.88344778216228,0.0,1.7071180019444376,1.7964452925687195
Temperature (degC),0.0098417508277302,0.023805455314472066,0.4134241793622447,0.6793058041796874,-0.0368224182527732,0.0565059199082336
Humidity (%),0.01308648290609249,0.01694887703950548,0.7721150419340298,0.4400667563467733,-0.02013721533652546,0.04631018114871044
Wind Speed (m/s),-0.02687428330168437,0.024263015337068136,-1.107623390099698,0.2680543737083449,-0.07443537529237138,0.020686808689002634
Wind Direction (deg),-0.00019824495347309234,0.020290731791103047,-0.00977022196705678,0.9922048333229315,-0.03997274733367159,0.03957625742672541
Pressure (hPa),0.019872536927854206,0.015318136524940554,1.2973207867352734,0.1945543976766465,-0.010154534739349196,0.04989960859505761
PeoplePerArea(p/m2),0.3490546622073236,0.12319859320303327,2.833268247081977,0.004617812755793632,0.10755707655889737,0.5905522478557499
LightingPowerIntensity(W/m2),0.3118884056247685,0.016121844284320255,19.345702645701905,1.0318494253693898e-81,0.28028588184881226,0.34349092940072473
EquipmentPowerIntensity(W/m2),-0.049602935189680356,0.022616332624920823,-2.1932351284497438,0.028316173712994382,-0.09393615023004202,-0.005269720149318688
VentilationRate (m3/s),0.11291591431386136,0.09550750474535466,1.1822726875225313,0.23712904392205353,-0.07430076736770255,0.3001325959954253
ACH,0.19679344323344905,0.09499571669536289,2.0716033320169194,0.038331135995479285,0.010579983871421228,0.3830069025954769
