Parameter,S1,S1_conf,ST,ST_conf,S1_rank,ST_rank
Temperature (degC),0.0004130902365295247,0.0017311474307381252,0.0003508628393265842,3.230012231605413e-05,9.0,9.0
Humidity (%),0.0006625007368849401,0.0021969351723630254,0.0006242315887562956,6.0323470963179214e-05,8.0,8.0
Wind Speed (m/s),0.0023208046083769774,0.0037613575766754183,0.002629088974055806,0.00025934108039564626,6.0,6.0
Wind Direction (deg),1.3836087755058506e-06,3.099352379023058e-05,1.4227624348652985e-07,1.4321042593610832e-08,10.0,10.0
Pressure (hPa),0.0018824111644538035,0.0030820769264814866,0.001412659807041087,0.00012119935921567633,7.0,7.0
PeoplePerArea(p/m2),0.44611436455829245,0.05221335489713343,0.4440362758096865,0.04114642152900899,1.0,1.0
LightingPowerIntensity(W/m2),0.35706224800240793,0.044081926480387904,0.35511318419088334,0.028796234783287973,2.0,2.0
EquipmentPowerIntensity(W/m2),0.008226835109989058,0.008456951032348852,0.008957576420826925,0.0007545690936302746,5.0,5.0
VentilationRate (m3/s),0.04470849080691691,0.01859472095263966,0.04596644629244631,0.004063928223297028,4.0,4.0
ACH,0.13936054458834632,0.030035280128914394,0.14040114108912907,0.011269938152532586,3.0,3.0
